,coords,col_2,type,nom,dict
540,"[45.548, 6.15669]","[-0.821448, -0.570284]",AS,l&apos;Arclusaz,{'roadname': 'A43'}
541,"[45.548, 6.15669]","[0.722726, 0.6911349999999999]",AS,Val Gelon,{'roadname': 'A43'}
542,"[45.5497, 6.16191]","[0, 1]",EC,Saint Pierre d&apos;Albigny,"{'numero': '23', 'roadname': 'A43'}"
543,"[45.6035, 5.88114]","[0.8660249999999999, 0.5]",BA,Barri&egrave;re de Chamb&eacute;ry Nord,{'roadname': 'A43'}
544,"[45.6525, 5.92502]","[0, 1]",EC,Aix Sud,"{'numero': '13', 'roadname': 'A41N'}"
545,"[45.6052, 5.88571]","[0, 1]",EC,Chamb&eacute;ry Nord,"{'numero': '18', 'roadname': 'A41N'}"
546,"[45.6027, 5.89162]","[0, 1]",BI,Jonction A41N/N201,{}
547,"[45.5953, 5.8941300000000005]","[0, 1]",EC,La Motte Servolex,"{'numero': '14', 'roadname': 'N201'}"
548,"[45.6736, 5.92826]","[-0.173648, -0.9848079999999999]",AS,Drumettaz,{'roadname': 'A41N'}
549,"[45.6736, 5.92826]","[0.173648, 0.9848079999999999]",AS,Mouxy,{'roadname': 'A41N'}
550,"[45.7142, 5.92371]","[0, 1]",EC,Aix Nord,"{'numero': '14', 'roadname': 'A41N'}"
551,"[45.9808, 5.31156]","[0, 1]",EC,Amb&eacute;rieu en Bugey,"{'numero': '8', 'roadname': 'A42'}"
552,"[45.7851, 5.96499]","[-0.285856, -0.9582729999999999]",AR,Albens,{'roadname': 'A41N'}
553,"[45.7851, 5.96499]","[0.20005199999999998, 0.9797849999999999]",AR,Saint Girod,{'roadname': 'A41N'}
554,"[45.8177, 6.00852]","[0, 1]",EC,Rumilly,"{'numero': '15', 'roadname': 'A41N'}"
555,"[45.8764, 6.07107]","[-0.502869, -0.864363]",AS,Fontanelles,{'roadname': 'A41N'}
556,"[45.8764, 6.07107]","[0.47070399999999996, 0.8822909999999999]",AS,La Ripaille,{'roadname': 'A41N'}
557,"[45.9399, 6.11477]","[0, 1]",EC,Annecy Nord,"{'numero': '17', 'roadname': 'A41N'}"
558,"[45.898, 6.08839]","[0, 1]",EC,Annecy Sud,"{'numero': '16', 'roadname': 'A41N'}"
559,"[46.0171, 6.1169]","[-0.965926, 0.25881899999999997]",AR,La Ravoire,{'roadname': 'A41N'}
560,"[46.0171, 6.1169]","[0.965926, -0.25881899999999997]",AR,Ponts de la Caille,{'roadname': 'A41N'}
